ID,Component,Failure Name,Triggers,Handled Status,Behavior
ERR-PL-01,Pipeline-Loader,Empty Audio URL,Audio URL parameter is empty or not available,Unhandled,Raises ValueError and terminates task execution with Error status.
ERR-PL-02,Pipeline-Loader,Missing Local Audio,Relative local static file path not found on disk,Handled,Falls back to downloading from the local server HTTP endpoint.
ERR-PL-03,Pipeline-Loader,Network Download Failure,Connection timeouts or non-200 HTTP statuses,Unhandled,Raises HTTPError and terminates task execution with Error status.
ERR-PL-04,Pipeline-ML,Audio Decoder Failure,Audio file has invalid codec/headers or is corrupted,Handled,Pipeline catches exception and falls back to dynamic transcript segment evaluation.
ERR-PL-05,Pipeline-ML,PyAnnote Import Failure,pyannote-audio package is missing from workspace environment,Handled,Diarization is skipped and empty list of segments returns.
ERR-PL-06,Pipeline-ML,Diarizer Token Failure,Missing or invalid Hugging Face access token,Handled,Logs warning and skips PyAnnote pipeline initialization.
ERR-PL-07,Pipeline-ML,VAD Hub Download Failure,No connection when downloading checkpoint details during lazy load,Unhandled,Raises download error and terminates task.
ERR-PL-08,Pipeline-ML,NISQA Import/Model Fail,PyTorch / TorchMetrics modules fail or are missing,Handled,Logs warning and falls back to default MOS quality score of 4.0.
ERR-PL-09,Pipeline-ML,RoBERTa Model Fail,Transformers packages or model checkpoints fail to load,Handled,Logs error and returns default neutral sentiment map {"neutral": 1.0}.
ERR-DB-01,Database,UUID Session Dialect Mismatch,Raw conversation ID strings sent directly to query context,Handled,Coercion to uuid.UUID object at the pipeline entry point ensures cross-compatibility with SQLite dialect.
